GEOID,full_geoid,center_lon,center_lat,poll_lon,poll_lat,poll_idx,osrm_distance_miles,osm_way_ids,num_way_ids,osm_way_ids_str
11010017005,011010017005,-86.253552,32.376189,-86.25603485000002,32.37839126999999,41,0.3386481414741447,[],0,
11010018001,011010018001,-86.264009,32.39964,-86.27957915999995,32.399444579999965,21,1.8354107895161993,[],0,
11010018002,011010018002,-86.268629,32.391625,-86.27848471,32.38995916000002,18,1.0102277952452559,[],0,
11010018003,011010018003,-86.265845,32.386239,-86.25068665,32.38306045999996,44,1.137795618079461,[],0,
11010019001,011010019001,-86.254102,32.399366,-86.25068665,32.38306045999996,44,1.4905489206755567,[],0,
11010019002,011010019002,-86.248359,32.388458,-86.25068665,32.38306045999996,44,0.4961661302148707,[],0,
11010019003,011010019003,-86.253518,32.38887,-86.25068665,32.38306045999996,44,0.7477599512843776,[],0,
11010019004,011010019004,-86.249219,32.397126,-86.25068665,32.38306045999996,44,1.2688431282389054,[],0,
11010020001,011010020001,-86.265492,32.338892,-86.26101685000003,32.33230591,33,0.6459790970211391,[],0,
11010020002,011010020002,-86.275806,32.333568,-86.29456329000003,32.33313370000001,6,1.344277778468192,[],0,
11010020003,011010020003,-86.274689,32.346434,-86.289711,32.35274505999996,12,1.1788683559720134,[],0,
11010020004,011010020004,-86.26699,32.349351,-86.29456329000003,32.33313370000001,6,2.8192302434538385,[],0,
11010021001,011010021001,-86.28592,32.338882,-86.25377654999996,32.30848312000003,30,3.7008960194862492,[],0,
11010021002,011010021002,-86.289605,32.330458,-86.29456329000003,32.33313370000001,6,0.4819988318192551,[],0,
11010021003,011010021003,-86.294199,32.339216,-86.29456329000003,32.33313370000001,6,0.4640411597300757,[],0,
11010022011,011010022011,-86.303322,32.341066,-86.30905151000002,32.34590912000003,8,0.6319982104465185,[],0,
11010022012,011010022012,-86.301926,32.33566,-86.29456329000003,32.33313370000001,6,0.8024407521095606,[],0,
11010022013,011010022013,-86.303473,32.331144,-86.30213165,32.32212448000002,5,1.1317683025339582,[],0,
11010022014,011010022014,-86.311966,32.330424,-86.30905151000002,32.34590912000003,8,1.3025836678389902,[],0,
11010022015,011010022015,-86.312504,32.339492,-86.31581116000002,32.33817673,7,0.27334186685225,[],0,
11010022021,011010022021,-86.310586,32.32284,-86.30213165,32.32212448000002,5,0.4936185019946065,[],0,
11010023001,011010023001,-86.319184,32.347302,-86.33810425,32.34717177999997,9,1.929548759118645,[],0,
11010023002,011010023002,-86.320479,32.340799,-86.31581116000002,32.33817673,7,0.41451775261908613,[],0,
11010023003,011010023003,-86.319249,32.334569,-86.35552216,32.34832381999998,10,3.6753576000099417,[],0,
11010023004,011010023004,-86.320493,32.330656,-86.31581116000002,32.33817673,7,0.6997899760150125,[],0,
11010024001,011010024001,-86.335925,32.340075,-86.33810425,32.34717177999997,9,0.807038910360769,[],0,
11010024002,011010024002,-86.332025,32.346879,-86.33810425,32.34717177999997,9,0.7956677892800776,[],0,
11010025001,011010025001,-86.272741,32.41724,-86.2791,32.4176,22,0.3879851367641393,[],0,
11010025002,011010025002,-86.27875,32.41365,-86.2791,32.4176,22,0.4565225496166131,[],0,
11010026001,011010026001,-86.241793,32.396763,-86.38694645000001,32.17635431999996,0,21.325015223632047,['US 31; AL 21'],1,US 31; AL 21
11010026002,011010026002,-86.234518,32.385056,-86.22198486000002,32.42712402,-1,11.09784135111288,[],0,
11010026003,011010026003,-86.236866,32.391837,-86.24391173999997,32.34976578000001,36,3.552387935426945,[],0,
11010026004,011010026004,-86.22186,32.386204,-86.1984,32.39,45,1.748667155479886,[],0,
11010026005,011010026005,-86.224667,32.391384,-86.25068665,32.38306045999996,44,1.911218263387476,[],0,
11010027001,011010027001,-86.240332,32.373036,-86.25068665,32.38306045999996,44,1.470167894913443,[],0,
11010027002,011010027002,-86.228376,32.370256,-86.22198486000002,32.42712402,-1,12.13907564591696,[],0,
11010027003,011010027003,-86.232822,32.378228,-86.22198486000002,32.42712402,-1,11.308610983384494,[],0,
11010027004,011010027004,-86.214678,32.373482,-86.22198486000002,32.42712402,-1,12.794188922166851,[],0,
11010028001,011010028001,-86.2565,32.341548,-86.26101685000003,32.33230591,33,0.9016118408788697,[],0,
11010028002,011010028002,-86.244349,32.333911,-86.24079131999999,32.32452393000004,32,1.1307741061553183,[],0,
11010028003,011010028003,-86.257874,32.332587,-86.20451355000003,32.33990479,34,4.344576037381784,[],0,
11010028004,011010028004,-86.249118,32.331936,-86.24079131999999,32.32452393000004,32,0.9400126760038277,[],0,
11010029011,011010029011,-86.243421,32.319999,-86.24079131999999,32.32452393000004,32,0.8707296158673742,[],0,
11010029012,011010029012,-86.242732,32.31292,-86.25377654999996,32.30848312000003,30,0.8369269389936248,[],0,
